order,type,document_number,pracel_number,sub_district_no,location_id,rai,ngan,tarang_wa,usage_agriculture,usage_living,usage_other,usage_none,usage_misc,type_of_usage
3584,โฉนด,54601,378,3967.0,05C025/008,0.0,0.0,23.5,0.0,0.0,0.0,0.0,23.5,misc
3585,โฉนด,136410,2788,6190.0,05C025/009,0.0,0.0,17.3,0.0,0.0,0.0,0.0,17.3,misc
3586,โฉนด,1068,379,1323.0,05C026,0.0,0.0,21.2,0.0,21.2,0.0,0.0,0.0,living
3587,โฉนด,66758,2633,4200.0,05C02/001,0.0,0.0,13.8,0.0,13.8,0.0,0.0,0.0,living
3588,โฉนด,66759,2634,4201.0,05C026/002,0.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,living
3589,โฉนด,66760,2635,4202.0,05C026/003,0.0,0.0,14.1,0.0,14.1,0.0,0.0,0.0,living
3590,โฉนด,66757,2632,4199.0,05C026/004,0.0,0.0,21.2,0.0,0.0,0.0,0.0,21.2,misc
3591,โฉนด,66756,2631,4198.0,05C026/005,0.0,0.0,14.9,0.0,14.9,0.0,0.0,0.0,living
3592,โฉนด,66755,2630,4197.0,05C026/006,0.0,0.0,14.4,0.0,0.0,0.0,0.0,14.4,misc
3593,โฉนด,66754,2629,4196.0,05C026/007,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,misc
3594,โฉนด,66753,2628,4195.0,05C026/008,0.0,0.0,22.3,0.0,22.3,0.0,0.0,0.0,living
3595,โฉนด,600,518,687.0,05C027,0.0,1.0,19.3,0.0,119.3,0.0,0.0,0.0,living
3596,โฉนด,1119,517,688.0,05C028,0.0,2.0,14.0,0.0,0.0,214.0,0.0,0.0,other
3597,โฉนด,-,-,-,05C029,1.0,2.0,84.9,0.0,0.0,0.0,0.0,0.0,unknown
3598,โฉนด,1001,398,1305.0,05C030,0.0,0.0,47.9,0.0,0.0,47.9,0.0,0.0,other
3599,โฉนด,99916,44,4977.0,05C030/002,0.0,0.0,21.8,0.0,0.0,21.8,0.0,0.0,other
3600,โฉนด,99915,43,4976.0,05C030/003,0.0,0.0,24.1,0.0,0.0,24.1,0.0,0.0,other
3601,โฉนด,99914,42,4975.0,05C030/004,0.0,0.0,41.9,0.0,0.0,41.9,0.0,0.0,other
3602,โฉนด,1080,397,1306.0,05C031,0.0,1.0,38.9,0.0,138.9,0.0,0.0,0.0,living
3603,โฉนด,1003,396,1307.0,05C032,0.0,0.0,89.7,0.0,89.7,0.0,0.0,0.0,living
3604,โฉนด,980,395,1308.0,05C033,0.0,0.0,79.1,0.0,79.1,0.0,0.0,0.0,living
3605,โฉนด,1098,393,1309.0,05C034,0.0,0.0,85.2,0.0,85.2,0.0,0.0,0.0,living
3606,โฉนด,1056,392,1312.0,05C035,0.0,0.0,89.5,0.0,89.5,0.0,0.0,0.0,living
3607,โฉนด,1057,389,1313.0,05C036,0.0,1.0,93.4,193.4,0.0,0.0,0.0,0.0,agriculture
3608,โฉนด,1076,394,1310.0,05C037,0.0,0.0,66.1,0.0,66.1,0.0,0.0,0.0,living
3609,โฉนด,1047,391,1311.0,05C038,0.0,0.0,58.5,0.0,0.0,58.5,0.0,0.0,other
3610,โฉนด,78641,28,4514.0,05C038/001,0.0,0.0,23.6,0.0,0.0,23.6,0.0,0.0,other
3611,โฉนด,78642,29,4515.0,05C038/002,0.0,0.0,20.6,0.0,0.0,20.6,0.0,0.0,other
3612,โฉนด,78643,30,4516.0,05C038/003,0.0,0.0,22.2,0.0,0.0,22.2,0.0,0.0,other
3613,โฉนด,1039,390,1314.0,05C039,0.0,0.0,41.8,0.0,41.8,0.0,0.0,0.0,living
3614,โฉนด,2758,386,1322.0,05C040,4.0,2.0,83.1,0.0,0.0,0.0,0.0,0.0,unknown
