order,type,document_number,parcel_number,sub_district_no,location_id,rai,ngan,tarang_wa,usage_agriculture,usage_living,usage_other,usage_none,usage_misc,type_of_usage
817,โฉนด,116577,29,5099.0,02E037/004,0.0,2.0,86.1,286.1,0.0,0.0,0.0,0.0,agriculture
827,โฉนด,1617,894,1499.0,02E046,0.0,0.0,32.1,32.1,0.0,0.0,0.0,0.0,agriculture
840,โฉนด,11315,863,2745.0,02E063,0.0,1.0,9.3,109.3,0.0,0.0,0.0,0.0,agriculture
841,โฉนด,11316,864,2746.0,02E064,0.0,1.0,6.6,106.6,0.0,0.0,0.0,0.0,agriculture
844,โฉนด,11320,868,2750.0,02E067,0.0,1.0,20.7,120.7,0.0,0.0,0.0,0.0,agriculture
875,โฉนด,11182,814,2612.0,02E091,0.0,1.0,30.8,130.8,0.0,0.0,0.0,0.0,agriculture
876,โฉนด,11183,817,2613.0,02E092,0.0,1.0,32.5,132.5,0.0,0.0,0.0,0.0,agriculture
878,โฉนด,11185,821,2615.0,02E094,0.0,1.0,36.1,136.1,0.0,0.0,0.0,0.0,agriculture
879,โฉนด,11186,822,2616.0,02E095,0.0,1.0,37.7,137.7,0.0,0.0,0.0,0.0,agriculture
881,โฉนด,11188,810,2618.0,02E097,0.0,1.0,24.1,124.1,0.0,0.0,0.0,0.0,agriculture
887,โฉนด,11193,819,2623.0,02E0102,0.0,1.0,29.3,129.3,0.0,0.0,0.0,0.0,agriculture
890,โฉนด,11196,832,2626.0,02E0105,0.0,1.0,21.3,121.3,0.0,0.0,0.0,0.0,agriculture
891,โฉนด,11197,831,2627.0,02E0106,0.0,1.0,22.8,122.8,0.0,0.0,0.0,0.0,agriculture
892,โฉนด,11198,830,2628.0,02E0107,0.0,1.0,24.4,124.4,0.0,0.0,0.0,0.0,agriculture
893,โฉนด,11199,829,2629.0,02E0108,0.0,1.0,25.9,125.9,0.0,0.0,0.0,0.0,agriculture
899,โฉนด,11205,833,2635.0,02E0114,0.0,1.0,21.2,121.2,0.0,0.0,0.0,0.0,agriculture
900,โฉนด,11206,834,2636.0,02E0115,0.0,1.0,21.9,121.9,0.0,0.0,0.0,0.0,agriculture
901,โฉนด,11207,835,2637.0,02E0116,0.0,1.0,23.3,123.3,0.0,0.0,0.0,0.0,agriculture
902,โฉนด,11208,836,2638.0,02E0117,0.0,1.0,24.9,124.9,0.0,0.0,0.0,0.0,agriculture
910,โฉนด,11216,848,2646.0,02E0125,0.0,1.0,21.8,121.8,0.0,0.0,0.0,0.0,agriculture
911,โฉนด,11217,847,2647.0,02E0126,0.0,1.0,21.9,121.9,0.0,0.0,0.0,0.0,agriculture
912,โฉนด,11218,846,2648.0,02E0127,0.0,1.0,23.4,123.4,0.0,0.0,0.0,0.0,agriculture
913,โฉนด,11219,845,2649.0,02E0128,0.0,1.0,22.5,122.5,0.0,0.0,0.0,0.0,agriculture
926,โฉนด,11231,859,2661.0,02E0140,0.0,1.0,28.8,128.8,0.0,0.0,0.0,0.0,agriculture
932,โฉนด,11285,938,2715.0,02E0146,0.0,2.0,86.4,286.4,0.0,0.0,0.0,0.0,agriculture
933,โฉนด,142555,994,6477.0,02E146/001,0.0,2.0,0.0,200.0,0.0,0.0,0.0,0.0,agriculture
954,โฉนด,11329,953,2759.0,02E0162,0.0,2.0,14.1,214.1,0.0,0.0,0.0,0.0,agriculture
955,โฉนด,11079,620,2562.0,02E0163,1.0,3.0,30.9,730.9,0.0,0.0,0.0,0.0,agriculture
961,โฉนด,132818,701,5852.0,02E163/006,0.0,1.0,16.1,116.1,0.0,0.0,0.0,0.0,agriculture
965,โฉนด,107968,15,5024.0,02E163/010,2.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,agriculture
967,โฉนด,140522,706,6319.0,02E163/012,0.0,0.0,75.9,75.9,0.0,0.0,0.0,0.0,agriculture
968,โฉนด,147430,708,6596.0,02E163/013,0.0,0.0,25.4,25.4,0.0,0.0,0.0,0.0,agriculture
969,โฉนด,147429,707,6595.0,02E163/014,0.0,0.0,24.2,24.2,0.0,0.0,0.0,0.0,agriculture
978,โฉนด,94035,48,10511.0,02F003/005,0.0,0.0,41.2,41.2,0.0,0.0,0.0,0.0,agriculture
979,โฉนด,25568,735,3287.0,02F004,0.0,3.0,71.9,371.9,0.0,0.0,0.0,0.0,agriculture
988,โฉนด,131184,1044,5514.0,02F010/001,0.0,0.0,81.9,81.9,0.0,0.0,0.0,0.0,agriculture
991,โฉนด,139834,1070,6275.0,02F011/001,0.0,0.0,92.6,92.6,0.0,0.0,0.0,0.0,agriculture
1030,โฉนด,2407,645,1504.0,02G001,36.0,2.0,77.7,14677.7,0.0,0.0,0.0,0.0,agriculture
1045,โฉนด,10806,727,2464.0,02G017,0.0,0.0,73.1,73.1,0.0,0.0,0.0,0.0,agriculture
1052,โฉนด,62398,54,4089.0,02G021/003,0.0,0.0,96.3,96.3,0.0,0.0,0.0,0.0,agriculture
1053,โฉนด,62399,55,4090.0,02G021/004,0.0,1.0,88.0,188.0,0.0,0.0,0.0,0.0,agriculture
1058,โฉนด,87947,26,4783.0,02G023/003,0.0,0.0,56.6,56.6,0.0,0.0,0.0,0.0,agriculture
1144,โฉนด,75120,11,4461.0,02I014/004,0.0,0.0,29.6,29.6,0.0,0.0,0.0,0.0,agriculture
1185,โฉนด,65480,44,5388.0,02I046/002,0.0,0.0,38.4,38.4,0.0,0.0,0.0,0.0,agriculture
1292,โฉนด,2680,1380,977.0,02K014,4.0,0.0,43.1,1643.1,0.0,0.0,0.0,0.0,agriculture
1304,โฉนด,69862,4,4349.0,02K019/003,0.0,0.0,43.1,43.1,0.0,0.0,0.0,0.0,agriculture
1305,โฉนด,69861,3,4348.0,02K019/004,0.0,0.0,41.2,41.2,0.0,0.0,0.0,0.0,agriculture
1308,โฉนด,715,1374,976.0,02K020,0.0,1.0,57.7,157.7,0.0,0.0,0.0,0.0,agriculture
1312,โฉนด,138307,68,6195.0,02K023/001,0.0,1.0,27.8,127.8,0.0,0.0,0.0,0.0,agriculture
1364,โฉนด,373,1130,475.0,02K056,0.0,0.0,70.4,70.4,0.0,0.0,0.0,0.0,agriculture
1371,โฉนด,2756,2162,489.0,02K062,6.0,1.0,42.7,2542.7,0.0,0.0,0.0,0.0,agriculture
1375,โฉนด,256,1138,462.0,02K066,0.0,2.0,19.7,219.7,0.0,0.0,0.0,0.0,agriculture
1376,โฉนด,84273,2535,4689.0,02K066/001,0.0,1.0,58.7,158.7,0.0,0.0,0.0,0.0,agriculture
1395,โฉนด,-,-,-,02K078,0.0,2.0,69.0,269.0,0.0,0.0,0.0,0.0,agriculture
1446,โฉนด,8360,2196,2367.0,02L022,0.0,0.0,70.9,70.9,0.0,0.0,0.0,0.0,agriculture
1447,โฉนด,2816,2199,1427.0,02L023,0.0,0.0,71.1,71.1,0.0,0.0,0.0,0.0,agriculture
1460,โฉนด,209,2192,384.0,02L032,0.0,0.0,61.4,61.4,0.0,0.0,0.0,0.0,agriculture
