order,type,document_number,parcel_number,sub_district_no,location_id,rai,ngan,tarang_wa,usage_agriculture,usage_living,usage_other,usage_none,usage_misc
5278,โฉนด,8059,1464,2291,06D006,0,2,14.5,,,214.5,,
5279,โฉนด,68275,2760,4320,06D007,0,0,77.1,,77.1,,,
5280,โฉนด,8058,1467,2290,06D007/001,0,0,77.2,,,77.2,,
5281,โฉนด,8060,1465,2292,06D008,0,0,29.7,,,,29.7,
5282,โฉนด,115147,1535,5084,06D008/003,0,1,14.3,,,,114.3,
5283,โฉนด,115148,1536,5085,06D008/004,0,1,55.5,,,,155.5,
5284,โฉนด,8404,1466,2334,06D009,0,1,30.1,,130.1,,,
5285,โฉนด,8007,1475,2281,06D010,0,1,44.5,,144.5,,,
5286,โฉนด,8004,1472,2278,06D013,1,0,60.8,,,460.8,,
5287,โฉนด,8005,1473,2279,06D013/001,0,2,15,215,,,,
5288,โฉนด,8002,1478,2276,06D013/002,0,1,22.9,122.9,,,,
5289,โฉนด,8006,1474,2280,06D013/003,0,1,22.9,122.9,,,,
5290,โฉนด,8003,1476,2277,06D014,0,0,87.7,,87.7,,,
5291,โฉนด,25141,1477,3226,06D015,0,0,87.7,,,87.7,,
5292,โฉนด,7998,1482,2272,06D020,0,1,25.4,,,125.4,,
5293,โฉนด,7997,1483,2271,06D021,0,1,33.2,,,133.2,,
5294,โฉนด,7996,1484,2270,06D022,0,1,32.6,,,132.6,,
5295,โฉนด,7995,1485,2269,06D023,0,1,31.6,,131.6,,,
5296,โฉนด,7994,1486,2268,06D024,0,1,36.5,,136.5,,,
5297,โฉนด,7993,1487,2267,06D025,0,1,48.4,,148.4,,,
5298,โฉนด,7992,1488,2266,06D026,0,2,65.5,,,265.5,,
5299,โฉนด,7991,1489,2265,06D027,0,3,39.8,339.8,,339.8,,
5300,โฉนด,8082,1501,2314,06D028,0,2,16.9,,194.4,22.5,,
5301,โฉนด,8081,1500,2313,06D029,0,0,55.1,,,,55.1,
5302,โฉนด,65841,80,4162,06D029/001,0,0,24.1,,,,24.1,
5303,โฉนด,65842,81,4163,06D029/002,0,0,24.1,,,,24.1,
5304,โฉนด,65843,82,4164,06D029/003,0,0,24,,,,24,
5305,โฉนด,65844,62,4165,06D029/004,0,0,24.1,,,,24.1,
5306,โฉนด,65845,63,4166,06D029/005,0,0,24.1,,,,24.1,
5307,โฉนด,65846,64,4167,06D029/006,0,0,24,,,,24,
5308,โฉนด,65847,2781,4168,06D029/007,0,0,24.1,,,,24.1,
5309,โฉนด,8080,1502,2312,06D030,0,0,99.5,,99.5,,,
5310,โฉนด,66226,209,4185,06D030/001,0,0,87.5,,,,87.5,
5311,โฉนด,20379,1503,3101,06D031,0,1,50,,,150,,
5312,โฉนด,8079,1504,2311,06D032,0,0,45,,,45,,
5313,โฉนด,65836,54,4157,06D032/001,0,0,27.4,,27.4,,,
5314,โฉนด,65837,55,4158,06D032/002,0,0,23.8,,23.8,,,
5315,โฉนด,65838,2780,4159,06D032/003,0,0,23.8,,23.8,,,
5316,โฉนด,65839,2779,4160,06D032/004,0,0,23.8,,23.8,,,
5317,โฉนด,65840,2872,4161,06D032/005,0,0,23.8,,,23.8,,
