ที่,ประเภทที่ดิน,เลขที่เอกสารสิทธิ์,เลขที่ดิน,หน้าสำรวจ,รหัสแปลงที่ดิน,ไร่,งาน,ตร.ว.,ประกอบเกษตรกรรม (ตร.ว.),อยู่อาศัย (ตร.ว.),อื่น ๆ (ตร.ว.),ว่างเปล่า/ไม่ทำประโยชน์ (ตร.ว.),ใช้ประโยชน์หลากหลาย (ตร.ว.),ลักษณะการทำประโยชน์
699,โฉนด,11162,644,2592.0,02D030,0.0,1.0,19.7,-,-,-,119.7,-,ว่างเปล่า/ไม่ทำประโยชน์
700,โฉนด,11163,643,2593.0,02D031,0.0,1.0,31.4,-,-,-,131.4,-,ว่างเปล่า/ไม่ทำประโยชน์
701,โฉนด,11075,636,2558.0,02D032,0.0,1.0,2.7,-,-,-,102.7,-,ว่างเปล่า/ไม่ทำประโยชน์
702,โฉนด,11076,637,2559.0,02D033,0.0,1.0,3.2,-,-,-,103.2,-,ว่างเปล่า/ไม่ทำประโยชน์
704,โฉนด,11078,639,2561.0,02D035,0.0,1.0,4.3,-,-,-,104.3,-,ว่างเปล่า/ไม่ทำประโยชน์
705,โฉนด,11164,18,7211.0,02D036,0.0,1.0,37.4,-,-,-,137.4,-,ว่างเปล่า/ไม่ทำประโยชน์
706,โฉนด,11165,641,2595.0,02D037,0.0,1.0,49.9,-,-,-,149.9,-,ว่างเปล่า/ไม่ทำประโยชน์
710,โฉนด,11234,652,2664.0,02D041,0.0,1.0,25.8,-,-,-,125.8,-,ว่างเปล่า/ไม่ทำประโยชน์
711,โฉนด,11235,653,2665.0,02D042,0.0,1.0,27.6,-,-,-,127.6,-,ว่างเปล่า/ไม่ทำประโยชน์
712,โฉนด,11236,654,2666.0,02D043,0.0,1.0,30.4,-,-,-,130.4,-,ว่างเปล่า/ไม่ทำประโยชน์
713,โฉนด,11237,655,2667.0,02D044,0.0,1.0,31.4,-,-,-,131.4,-,ว่างเปล่า/ไม่ทำประโยชน์
716,โฉนด,11240,662,2670.0,02D047,0.0,1.0,21.9,-,-,-,121.9,-,ว่างเปล่า/ไม่ทำประโยชน์
717,โฉนด,11241,661,2671.0,02D048,0.0,1.0,23.6,-,-,-,123.6,-,ว่างเปล่า/ไม่ทำประโยชน์
718,โฉนด,11242,660,2672.0,02D049,0.0,1.0,23.7,-,-,-,123.7,-,ว่างเปล่า/ไม่ทำประโยชน์
719,โฉนด,11243,659,2673.0,02D050,0.0,1.0,26.4,-,-,-,126.4,-,ว่างเปล่า/ไม่ทำประโยชน์
749,โฉนด,11260,805,2690.0,02D074,0.0,1.0,20.0,-,-,-,120.0,-,ว่างเปล่า/ไม่ทำประโยชน์
750,โฉนด,11261,808,2691.0,02D075,0.0,1.0,20.4,-,-,-,120.4,-,ว่างเปล่า/ไม่ทำประโยชน์
751,โฉนด,11262,630,2692.0,02D076,0.0,1.0,12.8,-,-,-,112.8,-,ว่างเปล่า/ไม่ทำประโยชน์
752,โฉนด,11263,629,2693.0,02D077,0.0,1.0,13.2,-,-,-,113.2,-,ว่างเปล่า/ไม่ทำประโยชน์
755,โฉนด,11266,806,2696.0,02D080,0.0,1.0,17.0,-,-,-,117.0,-,ว่างเปล่า/ไม่ทำประโยชน์
756,โฉนด,11267,807,2697.0,02D081,0.0,1.0,18.6,-,-,-,118.6,-,ว่างเปล่า/ไม่ทำประโยชน์
757,โฉนด,11268,631,2698.0,02D082,0.0,1.0,16.2,-,-,-,116.2,-,ว่างเปล่า/ไม่ทำประโยชน์
758,โฉนด,11269,632,2699.0,02D083,0.0,1.0,16.0,-,-,-,116.0,-,ว่างเปล่า/ไม่ทำประโยชน์
764,โฉนด,11275,642,2705.0,02D089,0.0,1.0,11.1,-,-,-,111.1,-,ว่างเปล่า/ไม่ทำประโยชน์
765,โฉนด,11276,641,2706.0,02D090,0.0,1.0,10.5,-,-,-,110.5,-,ว่างเปล่า/ไม่ทำประโยชน์
783,โฉนด,11070,624,2553.0,2E015,0.0,0.0,54.4,-,-,-,54.4,-,ว่างเปล่า/ไม่ทำประโยชน์
791,โฉนด,10197,610,2423.0,2E036,4.0,0.0,-,-,-,-,1600.0,-,ว่างเปล่า/ไม่ทำประโยชน์
817,โฉนด,11313,861,2743.0,2E061,0.0,1.0,52.9,-,-,-,152.9,-,ว่างเปล่า/ไม่ทำประโยชน์
818,โฉนด,11314,862,2744.0,2E062,0.0,1.0,10.7,-,-,-,110.7,-,ว่างเปล่า/ไม่ทำประโยชน์
819,โฉนด,11315,863,2745.0,2E063,0.0,1.0,9.3,-,-,-,110.7,-,ว่างเปล่า/ไม่ทำประโยชน์
820,โฉนด,11316,864,2746.0,2E064,0.0,1.0,6.6,-,-,-,106.6,-,ว่างเปล่า/ไม่ทำประโยชน์
822,โฉนด,11319,867,2749.0,2E066,0.0,1.0,19.9,-,-,-,119.9,-,ว่างเปล่า/ไม่ทำประโยชน์
823,โฉนด,11320,868,2750.0,2E067,0.0,1.0,19.3,-,-,-,119.3,-,ว่างเปล่า/ไม่ทำประโยชน์
824,โฉนด,11321,869,2751.0,2E068,0.0,0.0,63.2,-,-,-,63.2,-,ว่างเปล่า/ไม่ทำประโยชน์
826,โฉนด,11322,870,2752.0,2E069,0.0,1.0,3.9,-,-,-,103.9,-,ว่างเปล่า/ไม่ทำประโยชน์
864,โฉนด,11191,815,2621.0,2E0100,0.0,1.0,28.9,-,-,-,128.9,-,ว่างเปล่า/ไม่ทำประโยชน์
865,โฉนด,11192,816,2622.0,2E0101,0.0,0.0,84.2,-,-,-,84.2,-,ว่างเปล่า/ไม่ทำประโยชน์
