ที่,ประเภทที่ดิน,เลขที่เอกสารสิทธิ์,เลขที่ดิน,หน้าสำรวจ,รหัสแปลงที่ดิน,ไร่,งาน,ตร.ว.,ประกอบเกษตรกรรม (ตร.ว.),ลักษณะการทำประโยชน์
4133,โฉนด,2799,351,1907.0,05G059,0.0,2.0,0.4,200.4,ประกอบเกษตรกรรม
4155,โฉนด,1222,449,1607.0,05G066,0.0,1.0,36.0,136.0,ประกอบเกษตรกรรม
4283,โฉนด,61764,4,4096.0,05I001/021,0.0,1.0,37.8,137.8,ประกอบเกษตรกรรม
4299,โฉนด,7497,1056,2139.0,05I018,0.0,3.0,92.8,392.8,ประกอบเกษตรกรรม
4472,โฉนด,1312,347,1659.0,05J010,5.0,1.0,96.8,2196.8,ประกอบเกษตรกรรม
4475,โฉนด,130148,382,5482.0,05J011/002,0.0,1.0,21.1,121.1,ประกอบเกษตรกรรม
4776,โฉนด,27503,646,732.0,05L073,3.0,3.0,35.5,1535.5,ประกอบเกษตรกรรม
4951,โฉนด,68158,2688,7186.0,05M009/002,0.0,1.0,76.4,176.4,ประกอบเกษตรกรรม
4961,โฉนด,75625,15,6480.0,05M011/006,0.0,1.0,93.5,193.5,ประกอบเกษตรกรรม
5094,โฉนด,36212,917,5913.0,05N021,0.0,1.0,0.9,100.9,ประกอบเกษตรกรรม
5367,โฉนด,14048,1706,3002.0,06B038,0.0,0.0,91.6,91.6,ประกอบเกษตรกรรม
5459,โฉนด,20915,1238,3142.0,06C026,0.0,1.0,25.3,125.3,ประกอบเกษตรกรรม
5552,โฉนด,115147,1535,5084.0,06D008/003,0.0,1.0,14.3,114.3,ประกอบเกษตรกรรม
5553,โฉนด,115148,1536,5085.0,06D008/004,0.0,1.0,55.5,155.5,ประกอบเกษตรกรรม
5624,โฉนด,7971,1511,2245.0,06D052,0.0,1.0,19.2,119.2,ประกอบเกษตรกรรม
5654,โฉนด,124879,2775,5324.0,06D071/001,0.0,0.0,96.1,96.1,ประกอบเกษตรกรรม
5655,โฉนด,124880,2776,5325.0,06D071/002,0.0,0.0,96.0,96.0,ประกอบเกษตรกรรม
5753,โฉนด,7935,2148,2209.0,06D104,0.0,1.0,45.0,145.0,ประกอบเกษตรกรรม
5761,โฉนด,7928,2162,2202.0,06D111,0.0,1.0,19.9,119.9,ประกอบเกษตรกรรม
5762,โฉนด,7927,2161,2201.0,06D112,0.0,1.0,19.8,119.8,ประกอบเกษตรกรรม
5783,โฉนด,7918,2173,2192.0,06D125,0.0,1.0,43.6,143.6,ประกอบเกษตรกรรม
5788,โฉนด,7913,2178,2187.0,06D130,0.0,1.0,20.0,120.0,ประกอบเกษตรกรรม
5863,โฉนด,29311,2301,3602.0,06E010/003,0.0,3.0,17.1,317.1,ประกอบเกษตรกรรม
5873,โฉนด,82060,7,4620.0,06E019/001,0.0,0.0,57.1,57.1,ประกอบเกษตรกรรม
6007,โฉนด,27036,1754,3494.0,06F005/002,0.0,0.0,48.8,48.8,ประกอบเกษตรกรรม
6047,โฉนด,113850,29,5061.0,06F034/003,0.0,0.0,87.8,87.8,ประกอบเกษตรกรรม
6240,โฉนด,11511,2271,2862.0,06G047,0.0,1.0,19.6,119.6,ประกอบเกษตรกรรม
6241,โฉนด,11513,2270,2864.0,06G048,0.0,1.0,19.4,119.4,ประกอบเกษตรกรรม
6242,โฉนด,11515,2269,2866.0,06G049,0.0,1.0,19.4,119.4,ประกอบเกษตรกรรม
6243,โฉนด,11512,2272,2863.0,06G050,0.0,1.0,19.6,119.6,ประกอบเกษตรกรรม
6244,โฉนด,11514,2273,2865.0,06G051,0.0,1.0,19.6,119.6,ประกอบเกษตรกรรม
6245,โฉนด,11516,2268,2867.0,06G052,0.0,1.0,20.0,120.0,ประกอบเกษตรกรรม
6439,โฉนด,24508,2045,3250.0,06J070,0.0,1.0,98.0,198.0,ประกอบเกษตรกรรม
