ที่,ประเภทที่ดิน,เลขที่เอกสารสิทธิ์,เลขที่ดิน,หน้าสำรวจ,รหัสแปลงที่ดิน,ไร่,งาน,ตร.ว.,ประกอบเกษตรกรรม (ตร.ว.),อยู่อาศัย (ตร.ว.),อื่น ๆ (ตร.ว.),ว่างเปล่า/ไม่ทำประโยชน์ (ตร.ว.),ใช้ประโยชน์หลากหลาย (ตร.ว.),ลักษณะการทำประโยชน์
790,โฉนด,11240,662,2670.0,02D047,0.0,1.0,21.9,-,-,-,121.9,-,ว่างเปล่า/ไม่ทำประโยชน์
791,โฉนด,11241,661,2671.0,02D048,0.0,1.0,23.6,-,-,-,123.6,-,ว่างเปล่า/ไม่ทำประโยชน์
792,โฉนด,11242,660,2672.0,02D049,0.0,1.0,23.7,-,-,-,123.7,-,ว่างเปล่า/ไม่ทำประโยชน์
793,โฉนด,11243,659,2673.0,02D050,0.0,1.0,26.4,-,-,-,126.4,-,ว่างเปล่า/ไม่ทำประโยชน์
823,โฉนด,11260,805,2690.0,02D074,0.0,1.0,20.0,-,-,-,120.0,-,ว่างเปล่า/ไม่ทำประโยชน์
824,โฉนด,11261,808,2691.0,02D075,0.0,1.0,20.4,-,-,-,120.4,-,ว่างเปล่า/ไม่ทำประโยชน์
829,โฉนด,11266,806,2696.0,02D080,0.0,1.0,17.0,-,-,-,117.0,-,ว่างเปล่า/ไม่ทำประโยชน์
830,โฉนด,11267,807,2697.0,02D081,0.0,1.0,18.6,-,-,-,118.6,-,ว่างเปล่า/ไม่ทำประโยชน์
831,โฉนด,11268,631,2698.0,02D082,0.0,1.0,16.2,-,-,-,116.2,-,ว่างเปล่า/ไม่ทำประโยชน์
832,โฉนด,11269,632,2699.0,02D083,0.0,1.0,16.0,-,-,-,116.0,-,ว่างเปล่า/ไม่ทำประโยชน์
838,โฉนด,11275,642,2705.0,02D089,0.0,1.0,11.1,-,-,-,111.1,-,ว่างเปล่า/ไม่ทำประโยชน์
839,โฉนด,11276,641,2706.0,02D090,0.0,1.0,12.5,-,-,-,112.5,-,ว่างเปล่า/ไม่ทำประโยชน์
865,โฉนด,10197,610,2423.0,02E036,4.0,0.0,-,-,-,-,1600.0,-,ว่างเปล่า/ไม่ทำประโยชน์
889,โฉนด,11313,861,2743.0,02E061,0.0,1.0,52.9,-,-,-,152.9,-,ว่างเปล่า/ไม่ทำประโยชน์
890,โฉนด,11314,862,2744.0,02E062,0.0,1.0,10.7,-,-,-,110.7,-,ว่างเปล่า/ไม่ทำประโยชน์
894,โฉนด,11319,867,2749.0,02E066,0.0,1.0,19.9,-,-,-,119.9,-,ว่างเปล่า/ไม่ทำประโยชน์
899,โฉนด,11322,870,2752.0,02E069,0.0,1.0,3.9,-,-,-,103.9,-,ว่างเปล่า/ไม่ทำประโยชน์
936,โฉนด,11191,815,2621.0,02E0100,0.0,1.0,28.9,-,-,-,128.9,-,ว่างเปล่า/ไม่ทำประโยชน์
942,โฉนด,11196,832,2626.0,02E0105,0.0,1.0,21.3,-,-,-,121.3,-,ว่างเปล่า/ไม่ทำประโยชน์
943,โฉนด,11197,831,2627.0,02E0106,0.0,1.0,22.8,-,-,-,122.8,-,ว่างเปล่า/ไม่ทำประโยชน์
944,โฉนด,11198,830,2628.0,02E0107,0.0,1.0,24.4,-,-,-,124.4,-,ว่างเปล่า/ไม่ทำประโยชน์
945,โฉนด,11199,829,2629.0,02E0108,0.0,1.0,25.9,-,-,-,125.9,-,ว่างเปล่า/ไม่ทำประโยชน์
947,โฉนด,11201,827,2631.0,02E0110,0.0,1.0,27.6,-,-,-,127.6,-,ว่างเปล่า/ไม่ทำประโยชน์
948,โฉนด,11202,826,2632.0,02E0111,0.0,1.0,29.2,-,-,-,129.2,-,ว่างเปล่า/ไม่ทำประโยชน์
949,โฉนด,11203,825,2633.0,02E0112,0.0,1.0,30.8,-,-,-,130.8,-,ว่างเปล่า/ไม่ทำประโยชน์
951,โฉนด,11205,833,2635.0,02E0114,0.0,1.0,21.2,-,-,-,121.2,-,ว่างเปล่า/ไม่ทำประโยชน์
952,โฉนด,11206,834,2636.0,02E0115,0.0,1.0,21.7,-,-,-,121.2,-,ว่างเปล่า/ไม่ทำประโยชน์
953,โฉนด,11207,835,2637.0,02E0116,0.0,1.0,23.3,-,-,-,123.3,-,ว่างเปล่า/ไม่ทำประโยชน์
954,โฉนด,11208,836,2638.0,02E0117,0.0,1.0,24.9,-,-,-,124.9,-,ว่างเปล่า/ไม่ทำประโยชน์
955,โฉนด,11209,837,2639.0,02E0118,0.0,1.0,24.9,-,-,-,124.9,-,ว่างเปล่า/ไม่ทำประโยชน์
956,โฉนด,11210,838,2640.0,02E0119,0.0,1.0,26.5,-,-,-,126.5,-,ว่างเปล่า/ไม่ทำประโยชน์
957,โฉนด,11211,839,2641.0,02E0120,0.0,1.0,28.0,-,-,-,128.0,-,ว่างเปล่า/ไม่ทำประโยชน์
958,โฉนด,11212,840,2642.0,02E0121,0.0,1.0,29.6,-,-,-,129.6,-,ว่างเปล่า/ไม่ทำประโยชน์
970,โฉนด,11223,851,2653.0,02E0132,0.0,1.0,17.6,-,-,-,117.6,-,ว่างเปล่า/ไม่ทำประโยชน์
971,โฉนด,11224,852,2654.0,02E0133,0.0,1.0,19.1,-,-,-,119.1,-,ว่างเปล่า/ไม่ทำประโยชน์
972,โฉนด,11225,853,2655.0,02E0134,0.0,1.0,20.9,-,-,-,120.9,-,ว่างเปล่า/ไม่ทำประโยชน์
975,โฉนด,11228,856,2658.0,02E0137,0.0,1.0,24.7,-,-,-,124.7,-,ว่างเปล่า/ไม่ทำประโยชน์
976,โฉนด,11229,857,2659.0,02E0138,0.0,1.0,26.4,-,-,-,126.4,-,ว่างเปล่า/ไม่ทำประโยชน์
977,โฉนด,11230,858,2660.0,02E0139,0.0,1.0,28.2,-,-,-,128.2,-,ว่างเปล่า/ไม่ทำประโยชน์
981,โฉนด,11282,941,2712.0,02E0143,0.0,1.0,16.0,-,-,-,116.0,-,ว่างเปล่า/ไม่ทำประโยชน์
982,โฉนด,11283,940,2713.0,02E0144,0.0,1.0,17.1,-,-,-,117.1,-,ว่างเปล่า/ไม่ทำประโยชน์
983,โฉนด,11284,939,2714.0,02E0145,0.0,1.0,18.2,-,-,-,118.2,-,ว่างเปล่า/ไม่ทำประโยชน์
994,โฉนด,11294,946,2724.0,02E0155,0.0,1.0,18.1,-,-,-,118.1,-,ว่างเปล่า/ไม่ทำประโยชน์
995,โฉนด,11295,947,2725.0,02E0156,0.0,1.0,19.4,-,-,-,119.4,-,ว่างเปล่า/ไม่ทำประโยชน์
996,โฉนด,11296,948,2726.0,02E0157,0.0,1.0,20.8,-,-,-,120.8,-,ว่างเปล่า/ไม่ทำประโยชน์
997,โฉนด,11297,949,2727.0,02E0158,0.0,1.0,22.2,-,-,-,122.2,-,ว่างเปล่า/ไม่ทำประโยชน์
998,โฉนด,11298,950,2728.0,02E0159,0.0,1.0,23.6,-,-,-,123.6,-,ว่างเปล่า/ไม่ทำประโยชน์
1008,โฉนด,26654,54,5059.0,02E163/005,0.0,2.0,50.0,-,-,-,250.0,-,ว่างเปล่า/ไม่ทำประโยชน์
1012,โฉนด,132821,704,5855.0,02E163/009,0.0,1.0,15.0,-,-,-,115.0,-,ว่างเปล่า/ไม่ทำประโยชน์
1013,โฉนด,107968,15,5024.0,02E163/010,2.0,0.0,-,-,-,-,800.0,-,ว่างเปล่า/ไม่ทำประโยชน์
1060,โฉนด,79929,525,9102.0,02F024,3.0,3.0,13.5,-,-,-,1513.5,-,ว่างเปล่า/ไม่ทำประโยชน์
1064,โฉนด,139619,1067,6272.0,02F027/001,0.0,0.0,82.5,-,-,-,82.5,-,ว่างเปล่า/ไม่ทำประโยชน์
1088,โฉนด,1086,716,1043.0,02G010,0.0,0.0,46.1,-,-,-,46.1,-,ว่างเปล่า/ไม่ทำประโยชน์
1089,โฉนด,83326,721,1044.0,02G011,0.0,0.0,47.2,-,-,-,47.2,-,ว่างเปล่า/ไม่ทำประโยชน์
1141,โฉนด,20690,972,6522.0,02H002,0.0,1.0,51.2,-,-,-,151.2,-,ว่างเปล่า/ไม่ทำประโยชน์
1142,โฉนด,144826,1084,6523.0,02H002/001,0.0,2.0,0.2,-,-,-,200.2,-,ว่างเปล่า/ไม่ทำประโยชน์
1143,โฉนด,145485,1088,6550.0,02H002/002,1.0,0.0,6.7,-,-,-,406.7,-,ว่างเปล่า/ไม่ทำประโยชน์
1144,โฉนด,145484,1087,6549.0,02H002/003,0.0,0.0,64.1,-,-,-,64.1,-,ว่างเปล่า/ไม่ทำประโยชน์
1145,โฉนด,145483,1086,6548.0,02H002/004,0.0,1.0,5.3,-,-,-,105.3,-,ว่างเปล่า/ไม่ทำประโยชน์
1146,โฉนด,145486,1089,6551.0,02H002/005,0.0,1.0,50.0,-,-,-,150.0,-,ว่างเปล่า/ไม่ทำประโยชน์
1147,โฉนด,145487,1090,6552.0,02H002/006,0.0,2.0,19.0,-,-,-,219.0,-,ว่างเปล่า/ไม่ทำประโยชน์
1148,โฉนด,145924,1091,6561.0,02H002/008,0.0,2.0,-,-,-,-,200.0,-,ว่างเปล่า/ไม่ทำประโยชน์
1149,โฉนด,145925,1092,6562.0,02H002/009,0.0,1.0,80.0,-,-,-,180.0,-,ว่างเปล่า/ไม่ทำประโยชน์
1150,โฉนด,147447,1093,6597.0,02H002/011,0.0,0.0,88.1,-,-,-,88.1,-,ว่างเปล่า/ไม่ทำประโยชน์
1151,โฉนด,148625,1094,6616.0,02H002/012,0.0,0.0,82.1,-,-,-,82.1,-,ว่างเปล่า/ไม่ทำประโยชน์
1152,โฉนด,148626,1095,6617.0,02H002/013,0.0,0.0,81.7,-,-,-,81.7,-,ว่างเปล่า/ไม่ทำประโยชน์
1154,โฉนด,2675,1193,799.0,02H004,6.0,3.0,6.7,-,-,-,2706.7,-,ว่างเปล่า/ไม่ทำประโยชน์
1165,โฉนด,93164,33,10378.0,02I003/002,0.0,0.0,45.3,-,-,-,45.3,-,ว่างเปล่า/ไม่ทำประโยชน์
1170,โฉนด,2307,735,1038.0,02I005,0.0,0.0,46.1,-,-,-,46.1,-,ว่างเปล่า/ไม่ทำประโยชน์
