ที่,ประเภทที่ดิน,เลขที่เอกสารสิทธิ์,เลขที่ดิน,หน้าสำรวจ,รหัสแปลงที่ดิน,ไร่,งาน,ตร.ว.,ประกอบเกษตรกรรม (ตร.ว.),อยู่อาศัย (ตร.ว.),อื่น ๆ (ตร.ว.),ว่างเปล่า/ไม่ทำประโยชน์ (ตร.ว.),ใช้ประโยชน์หลากหลาย (ตร.ว.),ลักษณะการทำประโยชน์
140,โฉนด,26140,306,3391.0,01B048/001,0.0,0.0,60.2,60.2,-,-,-,21.0,ประกอบเกษตรกรรม
144,โฉนด,1325,319,1384.0,01C004,0.0,3.0,11.1,311.1,-,-,-,-,ประกอบเกษตรกรรม
146,โฉนด,28912,320,3589.0,01C004/002,0.0,1.0,26.4,126.4,-,24.44,-,-,ประกอบเกษตรกรรม
147,โฉนด,87179,34,4790.0,01C004/003,0.0,0.0,80.2,80.2,-,30.38,-,-,ประกอบเกษตรกรรม
148,โฉนด,87180,35,4791.0,01C004/004,0.0,0.0,14.2,14.2,-,-,-,-,ประกอบเกษตรกรรม
150,โฉนด,1385,350,1385.0,01C006,0.0,2.0,47.7,247.7,-,46.9,-,-,ประกอบเกษตรกรรม
151,โฉนด,24832,338,3240.0,01C007,0.0,1.0,37.3,137.3,-,-,-,-,ประกอบเกษตรกรรม
152,โฉนด,1321,339,1380.0,01C008,0.0,0.0,64.0,64.0,-,-,-,-,ประกอบเกษตรกรรม
163,โฉนด,1272,357,1375.0,01C019,0.0,1.0,49.5,149.5,-,-,-,-,ประกอบเกษตรกรรม
165,โฉนด,66790,2562,4280.0,01C019/002,0.0,0.0,51.7,51.7,-,-,-,-,ประกอบเกษตรกรรม
169,โฉนด,1273,356,1374.0,01C021,0.0,1.0,73.6,173.6,-,-,-,-,ประกอบเกษตรกรรม
170,โฉนด,2699,360,1864.0,01C022,0.0,3.0,29.0,329.0,-,40.0,-,-,ประกอบเกษตรกรรม
172,โฉนด,10538,358,2432.0,01C024,0.0,2.0,16.6,216.6,-,-,-,-,ประกอบเกษตรกรรม
173,โฉนด,2701,355,1866.0,01C025,0.0,1.0,42.7,142.7,-,-,-,-,ประกอบเกษตรกรรม
190,โฉนด,69668,1,4359.0,01C035/002,0.0,0.0,61.7,61.7,-,-,-,-,ประกอบเกษตรกรรม
194,โฉนด,1307,391,1358.0,01C039,0.0,1.0,59.8,159.8,-,57.75,-,-,ประกอบเกษตรกรรม
195,โฉนด,3068,598,1988.0,01C040,0.0,1.0,45.4,145.4,40.5,-,-,-,ประกอบเกษตรกรรม
198,โฉนด,26110,390,3409.0,01C042/001,0.0,0.0,13.4,13.4,-,-,-,-,ประกอบเกษตรกรรม
219,โฉนด,67537,2530,4324.0,01D001/006,0.0,0.0,84.0,84.0,-,-,-,-,ประกอบเกษตรกรรม
231,โฉนด,1036,664,1340.0,01D013,0.0,0.0,84.6,84.6,-,40.38,-,-,ประกอบเกษตรกรรม
249,โฉนด,67066,2581,4284.0,01D016/001,0.0,0.0,81.6,81.6,-,-,-,-,ประกอบเกษตรกรรม
254,โฉนด,29732,708,3685.0,01D017/001,0.0,0.0,16.3,16.3,-,10.5,-,-,ประกอบเกษตรกรรม
255,โฉนด,29731,707,3684.0,01D017/002,0.0,0.0,16.1,16.1,-,10.5,-,-,ประกอบเกษตรกรรม
260,โฉนด,29726,702,3679.0,01D017/007,0.0,0.0,16.7,16.7,10.5,-,-,-,ประกอบเกษตรกรรม
263,โฉนด,86903,23,4779.0,01D018/002,0.0,0.0,51.9,51.9,-,-,-,-,ประกอบเกษตรกรรม
311,โฉนด,1901,574,1727.0,01D043/002,0.0,0.0,44.2,44.2,-,-,-,-,ประกอบเกษตรกรรม
313,โฉนด,18969,763,3054.0,01D045,0.0,0.0,59.8,59.8,-,18.0,-,-,ประกอบเกษตรกรรม
317,โฉนด,767,766,1100.0,01D049,0.0,1.0,29.7,129.7,63.75,-,-,-,ประกอบเกษตรกรรม
343,โฉนด,137965,634,6184.0,01D059,0.0,0.0,77.2,77.2,-,-,77.2,-,ประกอบเกษตรกรรม
